ID,PARENT,CODE,DEF COLOR,COLOR,NAME,COMMENT,ONTOLOGY,CONCEPT
0,-1,NI,,#f2bbce,No Semantics,"No further semantics is given, why the information is missing",,
1,-1,UNC,,#52c7bb,Not Encoded,The actual value has not yet been encoded within the approved value domain. ,,
2,-1,UNK,,#5352aa,Unknown,"A proper value is applicable, but not known. This is typically the case, if there are artefacts (air bubbles), etc which do not allow a classification",,
3,-1,NV,,#f1ea1d,No proper Value,"Known to have no proper value, this will be the most common null value e.g. when there is no tissue. ",,
4,-1,C00,,#ffffff,C00: Lip,Lip,https://bioportal.bioontology.org/ontologies/ICD-O-3/?p=classes&conceptid=https%3A%2F%2Fdata.jrc.ec.europa.eu%2Fcollection%2FICDO3_O%23C00,https://data.jrc.ec.europa.eu/collection/ICDO3_O#C00
5,-1,C01,,#ffffff,C01: Base of Tongue,Base of Tongue,https://bioportal.bioontology.org/ontologies/ICD-O-3/?p=classes&conceptid=https%3A%2F%2Fdata.jrc.ec.europa.eu%2Fcollection%2FICDO3_O%23C01,https://data.jrc.ec.europa.eu/collection/ICDO3_O#C01
6,-1,C02,,#ffffff,C02: Other and Unspecified Parts of Tongue,Other and Unspecified Parts of Tongue,https://bioportal.bioontology.org/ontologies/ICD-O-3/?p=classes&conceptid=https%3A%2F%2Fdata.jrc.ec.europa.eu%2Fcollection%2FICDO3_O%23C02,https://data.jrc.ec.europa.eu/collection/ICDO3_O#C02
7,-1,C03,,#ffffff,C03: Gum,Gum,https://bioportal.bioontology.org/ontologies/ICD-O-3/?p=classes&conceptid=https%3A%2F%2Fdata.jrc.ec.europa.eu%2Fcollection%2FICDO3_O%23C03,https://data.jrc.ec.europa.eu/collection/ICDO3_O#C03
8,-1,C04,,#ffffff,C04: Floor of Mouth,Floor of Mouth,https://bioportal.bioontology.org/ontologies/ICD-O-3/?p=classes&conceptid=https%3A%2F%2Fdata.jrc.ec.europa.eu%2Fcollection%2FICDO3_O%23C04,https://data.jrc.ec.europa.eu/collection/ICDO3_O#C04
9,-1,C05,,#ffffff,C05: Palate,Palate,https://bioportal.bioontology.org/ontologies/ICD-O-3/?p=classes&conceptid=https%3A%2F%2Fdata.jrc.ec.europa.eu%2Fcollection%2FICDO3_O%23C05,https://data.jrc.ec.europa.eu/collection/ICDO3_O#C05
